frame_id,timestamp_sec,timestamp_iso,fps,step_id,step_name,activity,anomaly,instruction,lid_angle_deg,lid_state,wrist_cam_x,wrist_cam_y,wrist_cam_z,wrist_rack_x,wrist_rack_y,wrist_rack_z,elbow_angle_deg,shoulder_angle_deg,body_orientation_deg,rom_violated,container_rack_x,container_rack_y,container_rack_z,container_xmin,container_ymin,container_xmax,container_ymax,component_rack_x,component_rack_y,component_rack_z,component_xmin,component_ymin,component_xmax,component_ymax,component_state,component_is_inside,hand_to_object_dist_m
1,2.002,2026-09-10T08:27:41.951790Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,13.3,CLOSED,-0.338,-0.277,1.1,-0.253,-0.855,1.511,145.0,0.0,-137.7,1,0.102,-0.701,2.383,840.2,655.6,1274.7,975.2,-0.353,-1.176,2.051,562.0,215.0,652.0,285.0,RELEASED,0,0.636
2,2.065,2026-09-10T08:27:42.015062Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,24.4,OPEN,-0.335,-0.277,1.1,-0.299,-1.014,1.791,145.0,0.0,-137.7,1,0.102,-0.701,2.383,840.6,655.1,1274.9,975.3,-0.35,-1.176,2.051,565.0,215.0,655.0,285.0,RELEASED,0,0.311
3,2.124,2026-09-10T08:27:42.073896Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,33.2,OPEN,-0.337,-0.277,1.1,-0.318,-1.079,1.907,145.0,0.0,-137.7,1,0.101,-0.702,2.382,840.2,654.0,1274.1,974.8,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,RELEASED,0,0.177
4,2.18,2026-09-10T08:27:42.129625Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,40.6,OPEN,-0.338,-0.277,1.1,-0.329,-1.11,1.962,145.0,0.0,-137.7,1,0.102,-0.702,2.383,841.0,654.7,1274.3,974.6,-0.354,-1.176,2.051,561.0,215.0,651.0,285.0,EXTRACTED,0,0.114
5,2.245,2026-09-10T08:27:42.194732Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,46.4,OPEN,-0.34,-0.277,1.1,-0.335,-1.126,1.989,145.0,0.0,-137.7,1,0.104,-0.702,2.383,842.1,653.7,1276.3,975.8,-0.355,-1.176,2.051,560.0,215.0,650.0,285.0,EXTRACTED,0,0.082
6,2.302,2026-09-10T08:27:42.251619Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,49.6,OPEN,-0.338,-0.276,1.1,-0.337,-1.133,2.003,145.0,0.0,-137.7,1,0.103,-0.702,2.383,841.7,654.1,1275.0,975.2,-0.354,-1.175,2.051,561.0,216.0,651.0,286.0,EXTRACTED,0,0.067
7,2.359,2026-09-10T08:27:42.308910Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,51.2,OPEN,-0.337,-0.276,1.1,-0.337,-1.137,2.01,145.0,0.0,-137.7,1,0.104,-0.701,2.383,842.6,656.2,1275.8,975.8,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.059
8,2.421,2026-09-10T08:27:42.370776Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,51.8,OPEN,-0.337,-0.276,1.1,-0.337,-1.139,2.013,145.0,0.0,-137.7,1,0.103,-0.701,2.383,842.6,655.2,1274.6,975.6,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.055
9,2.478,2026-09-10T08:27:42.427528Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,52.2,OPEN,-0.336,-0.276,1.1,-0.337,-1.14,2.015,145.0,0.0,-137.7,1,0.103,-0.701,2.383,842.5,656.0,1274.9,975.6,-0.351,-1.175,2.051,564.0,216.0,654.0,286.0,EXTRACTED,0,0.053
10,2.536,2026-09-10T08:27:42.485902Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,52.9,OPEN,-0.337,-0.277,1.1,-0.337,-1.14,2.015,145.0,0.0,-137.7,1,0.103,-0.701,2.383,843.0,656.2,1274.9,975.8,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,EXTRACTED,0,0.053
