frame_id,timestamp_sec,timestamp_iso,fps,step_id,step_name,activity,anomaly,instruction,lid_angle_deg,lid_state,wrist_cam_x,wrist_cam_y,wrist_cam_z,wrist_rack_x,wrist_rack_y,wrist_rack_z,elbow_angle_deg,shoulder_angle_deg,body_orientation_deg,rom_violated,container_rack_x,container_rack_y,container_rack_z,container_xmin,container_ymin,container_xmax,container_ymax,component_rack_x,component_rack_y,component_rack_z,component_xmin,component_ymin,component_xmax,component_ymax,component_state,component_is_inside,hand_to_object_dist_m
1,1.988,2026-09-10T08:20:04.101862Z,20.3,0,IDLE,IDLE,NONE,System initialized. Please open the box.,13.3,CLOSED,-0.338,-0.277,1.1,-0.253,-0.856,1.511,145.0,0.0,-137.7,1,0.102,-0.701,2.383,840.2,655.6,1274.7,975.2,-0.353,-1.176,2.051,562.0,215.0,652.0,285.0,RELEASED,0,0.636
2,2.082,2026-09-10T08:20:04.195180Z,0.6,0,IDLE,APPROACH COMPONENT BOX,NONE,System initialized. Please open the box.,24.4,OPEN,-0.335,-0.277,1.1,-0.316,-1.073,1.895,145.0,0.0,-137.7,1,0.102,-0.701,2.383,840.6,655.1,1274.9,975.3,-0.35,-1.176,2.051,565.0,215.0,655.0,285.0,RELEASED,0,0.19
3,2.16,2026-09-10T08:20:04.273314Z,11.7,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,33.2,OPEN,-0.337,-0.277,1.1,-0.315,-1.11,1.967,145.0,0.0,-137.7,1,0.101,-0.702,2.382,840.2,654.0,1274.1,974.8,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,EXTRACTED,0,0.113
4,2.228,2026-09-10T08:20:04.342125Z,12.8,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,40.6,OPEN,-0.338,-0.277,1.1,-0.317,-1.127,1.998,145.0,0.0,-137.7,1,0.102,-0.702,2.383,841.0,654.7,1274.3,974.6,-0.354,-1.176,2.051,561.0,215.0,651.0,285.0,EXTRACTED,0,0.081
5,2.3,2026-09-10T08:20:04.413514Z,14.2,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,46.4,OPEN,-0.34,-0.277,1.1,-0.329,-1.134,2.006,145.0,0.0,-137.7,1,0.104,-0.702,2.383,842.1,653.7,1276.3,975.8,-0.355,-1.176,2.051,560.0,215.0,650.0,285.0,EXTRACTED,0,0.067
6,2.366,2026-09-10T08:20:04.480030Z,14.7,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,49.6,OPEN,-0.338,-0.276,1.1,-0.334,-1.136,2.011,145.0,0.0,-137.7,1,0.103,-0.702,2.383,841.7,654.1,1275.0,975.2,-0.354,-1.175,2.051,561.0,216.0,651.0,286.0,EXTRACTED,0,0.06
7,2.462,2026-09-10T08:20:04.575745Z,12.5,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,51.2,OPEN,-0.337,-0.276,1.1,-0.334,-1.138,2.013,145.0,0.0,-137.7,1,0.104,-0.701,2.383,842.6,656.2,1275.8,975.8,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.057
8,2.546,2026-09-10T08:20:04.659710Z,10.8,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,51.8,OPEN,-0.337,-0.276,1.1,-0.336,-1.139,2.014,145.0,0.0,-137.7,1,0.103,-0.701,2.383,842.6,655.2,1274.6,975.6,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.055
9,2.632,2026-09-10T08:20:04.745595Z,12.7,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,52.2,OPEN,-0.336,-0.276,1.1,-0.336,-1.139,2.014,145.0,0.0,-137.7,1,0.103,-0.701,2.383,842.5,656.0,1274.9,975.6,-0.351,-1.175,2.051,564.0,216.0,654.0,286.0,EXTRACTED,0,0.054
10,2.739,2026-09-10T08:20:04.852599Z,11.6,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,52.9,OPEN,-0.337,-0.277,1.1,-0.335,-1.139,2.014,145.0,0.0,-137.7,1,0.103,-0.701,2.383,843.0,656.2,1274.9,975.8,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,EXTRACTED,0,0.055
11,2.827,2026-09-10T08:20:04.940249Z,8.7,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,53.5,OPEN,-0.337,-0.276,1.1,-0.336,-1.14,2.014,145.0,0.0,-137.7,1,0.104,-0.701,2.383,843.1,655.7,1275.6,975.3,-0.352,-1.175,2.051,563.0,216.0,653.0,286.0,EXTRACTED,0,0.054
12,2.903,2026-09-10T08:20:05.016673Z,12.5,0,IDLE,EXTRACT COMPONENT BOX,NONE,System initialized. Please open the box.,53.3,OPEN,-0.333,-0.276,1.1,-0.334,-1.139,2.014,145.0,0.0,-137.7,1,0.104,-0.701,2.383,842.4,656.2,1276.0,975.1,-0.348,-1.175,2.051,567.0,216.0,657.0,286.0,EXTRACTED,0,0.054
13,2.972,2026-09-10T08:20:05.086051Z,14.2,1,BOX_OPENED,EXTRACT COMPONENT BOX,NONE,Box opened. Next step: Please take out the object.,54.0,OPEN,-0.337,-0.276,1.1,-0.333,-1.139,2.015,145.0,0.0,-137.7,1,0.103,-0.7,2.383,842.2,657.0,1275.6,975.6,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.056
14,3.038,2026-09-10T08:20:05.151378Z,14.4,1,BOX_OPENED,EXTRACT COMPONENT BOX,NONE,Box opened. Next step: Please take out the object.,53.9,OPEN,-0.337,-0.277,1.1,-0.337,-1.139,2.014,145.0,0.0,-137.7,1,0.103,-0.701,2.383,842.7,656.5,1275.5,975.7,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,EXTRACTED,0,0.054
15,3.111,2026-09-10T08:20:05.224605Z,15.1,1,BOX_OPENED,EXTRACT COMPONENT BOX,NONE,Box opened. Next step: Please take out the object.,54.7,OPEN,-0.339,-0.277,1.1,-0.338,-1.139,2.014,145.0,0.0,-137.7,1,0.103,-0.701,2.383,842.4,655.7,1275.6,975.3,-0.354,-1.176,2.051,561.0,215.0,651.0,285.0,EXTRACTED,0,0.054
