frame_id,timestamp_sec,timestamp_iso,fps,step_id,step_name,activity,anomaly,instruction,lid_angle_deg,lid_state,wrist_cam_x,wrist_cam_y,wrist_cam_z,wrist_rack_x,wrist_rack_y,wrist_rack_z,elbow_angle_deg,shoulder_angle_deg,body_orientation_deg,rom_violated,container_rack_x,container_rack_y,container_rack_z,container_xmin,container_ymin,container_xmax,container_ymax,component_rack_x,component_rack_y,component_rack_z,component_xmin,component_ymin,component_xmax,component_ymax,component_state,component_is_inside,hand_to_object_dist_m
1,0.18,2026-09-10T08:28:47.459512Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,13.2,CLOSED,-0.338,-0.277,1.1,-0.253,-0.855,1.511,145.0,0.0,-137.7,1,0.109,-0.7,2.384,852.0,654.0,1276.0,980.0,-0.353,-1.176,2.051,562.0,215.0,652.0,285.0,RELEASED,0,0.636
2,0.219,2026-09-10T08:28:47.497959Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,24.1,OPEN,-0.335,-0.277,1.1,-0.299,-1.014,1.791,145.0,0.0,-137.7,1,0.11,-0.698,2.385,850.0,654.0,1280.0,984.0,-0.35,-1.176,2.051,565.0,215.0,655.0,285.0,RELEASED,0,0.311
3,0.252,2026-09-10T08:28:47.531305Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,32.8,OPEN,-0.337,-0.277,1.1,-0.318,-1.079,1.907,145.0,0.0,-137.7,1,0.107,-0.701,2.383,850.0,654.0,1276.0,978.0,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,RELEASED,0,0.177
4,0.284,2026-09-10T08:28:47.562789Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,40.1,OPEN,-0.338,-0.277,1.1,-0.33,-1.11,1.962,145.0,0.0,-137.7,1,0.111,-0.701,2.383,852.0,654.0,1280.0,978.0,-0.354,-1.176,2.051,561.0,215.0,651.0,285.0,EXTRACTED,0,0.114
5,0.313,2026-09-10T08:28:47.592391Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,45.6,OPEN,-0.34,-0.277,1.1,-0.336,-1.126,1.989,145.0,0.0,-137.7,1,0.11,-0.701,2.383,852.0,654.0,1278.0,978.0,-0.355,-1.176,2.051,560.0,215.0,650.0,285.0,EXTRACTED,0,0.082
6,0.349,2026-09-10T08:28:47.627804Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,48.8,OPEN,-0.338,-0.276,1.1,-0.338,-1.133,2.003,145.0,0.0,-137.7,1,0.109,-0.701,2.383,852.0,654.0,1276.0,978.0,-0.354,-1.175,2.051,561.0,216.0,651.0,286.0,EXTRACTED,0,0.066
7,0.395,2026-09-10T08:28:47.674101Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,50.6,OPEN,-0.337,-0.276,1.1,-0.337,-1.137,2.01,145.0,0.0,-137.7,1,0.109,-0.701,2.383,850.0,654.0,1278.0,978.0,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.059
8,0.44,2026-09-10T08:28:47.718807Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,51.3,OPEN,-0.337,-0.276,1.1,-0.337,-1.138,2.013,145.0,0.0,-137.7,1,0.109,-0.701,2.383,852.0,654.0,1276.0,978.0,-0.353,-1.175,2.051,562.0,216.0,652.0,286.0,EXTRACTED,0,0.055
9,0.484,2026-09-10T08:28:47.762921Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,51.9,OPEN,-0.336,-0.276,1.1,-0.337,-1.139,2.015,145.0,0.0,-137.7,1,0.109,-0.701,2.383,850.0,654.0,1278.0,978.0,-0.351,-1.175,2.051,564.0,216.0,654.0,286.0,EXTRACTED,0,0.053
10,0.523,2026-09-10T08:28:47.802421Z,30.0,0,IDLE,IDLE,NONE,System initialized. Please open the primary container box.,52.7,OPEN,-0.337,-0.277,1.1,-0.337,-1.14,2.015,145.0,0.0,-137.7,1,0.107,-0.701,2.383,850.0,654.0,1276.0,978.0,-0.352,-1.176,2.051,563.0,215.0,653.0,285.0,EXTRACTED,0,0.053
